City,colors,shape,State,Time
New York City,,SPHERE,NY,2000-01-01 00:01:00
San Diego,GREEN,LIGHT,CA,2000-01-01 00:23:00
Laporte,,OTHER,TX,2000-01-01 02:13:00
Bellefontaine,RED,LIGHT,OH,2000-01-01 03:00:00
Nellis AFB,,LIGHT,NV,2000-01-01 03:30:00
Clovis,,LIGHT,CA,2000-01-01 05:00:00
Gurnee,,LIGHT,IL,2000-01-01 14:45:00
San Francisco,,LIGHT,CA,2000-01-01 16:20:00
Medford,,FORMATION,OR,2000-01-01 17:00:00
Houston,,FLASH,TX,2000-01-01 20:30:00
Patoka,,TRIANGLE,IL,2000-01-01 21:00:00
Houston,GREEN,SPHERE,TX,2000-01-01 21:35:00
Evansville,,CIGAR,IN,2000-01-01 22:00:00
Erath,,EGG,LA,2000-01-01 23:00:00
Jacksonville,,RECTANGLE,FL,2000-01-02 00:00:00
Mesa,,OVAL,AZ,2000-01-02 00:30:00
Chandler,,DIAMOND,AZ,2000-01-02 18:30:00
Murrieta,,FIREBALL,CA,2000-01-02 19:33:00
Kennewick,,LIGHT,WA,2000-01-02 19:34:00
Oroville,,LIGHT,CA,2000-01-02 20:00:00
Studio City,BLUE,RECTANGLE,CA,2000-01-02 21:00:00
Anaheim Hills,GREEN,LIGHT,CA,2000-01-02 21:30:00
Redlands,GREEN,FIREBALL,CA,2000-01-02 21:30:00
Temecula,GREEN,FIREBALL,CA,2000-01-02 21:30:00
Glendale,,FIREBALL,CA,2000-01-02 21:33:00
Big Bear Lake,BLUE,OTHER,CA,2000-01-02 21:35:00
La Quinta,,FORMATION,CA,2000-01-02 21:35:00
Sanger,BLUE,OTHER,CA,2000-01-02 21:35:00
Vista,,DISK,CA,2000-01-02 21:37:00
Jurupa,BLUE,LIGHT,CA,2000-01-02 21:40:00
San Fernando Valley,,TRIANGLE,CA,2000-01-02 21:40:00
Sierra Madre,GREEN,FIREBALL,CA,2000-01-02 21:50:00
Tustin,BLUE,LIGHT,CA,2000-01-02 22:00:00
South Pasadena,,CHEVRON,CA,2000-01-02 22:40:00
no data,,TRIANGLE,NV,2000-01-02 23:00:00
El Centro,,OTHER,CA,2000-01-03 07:30:00
Union City,,CIGAR,TN,2000-01-03 15:18:00
West Manchester,,LIGHT,OH,2000-01-03 21:30:00
Reno,,LIGHT,NV,2000-01-03 22:43:00
Union,,TRIANGLE,MO,2000-01-04 03:15:00
Duryea,RED GREEN BLUE,OVAL,PA,2000-01-04 19:00:00
Scottsdale,,LIGHT,AZ,2000-01-04 20:30:00
Coleman,,FIREBALL,TX,2000-01-04 21:30:00
Dupo,,TRIANGLE,IL,2000-01-04 23:35:00
Florissant,,RECTANGLE,MO,2000-01-05 02:00:00
Florissant,,RECTANGLE,MO,2000-01-05 02:00:00
Caseyville,RED ORANGE,OTHER,IL,2000-01-05 04:00:00
"Summerfield,",,VARIOUS,IL,2000-01-05 04:15:00
Edwardsville,,TRIANGLE,IL,2000-01-05 04:25:00
Milton,,TRIANGLE,MA,2000-01-05 05:00:00
Exton,BLUE,CYLINDER,PA,2000-01-05 09:50:00
Hawkinsville,,TRIANGLE,GA,2000-01-05 19:55:00
Galesburg,,TRIANGLE,IL,2000-01-05 20:00:00
Ramona,,LIGHT,CA,2000-01-05 21:00:00
Lakemoor,,TRIANGLE,IL,2000-01-05 22:45:00
York,,CIGAR,PA,2000-01-06 10:25:00
San Francisco,,CHEVRON,CA,2000-01-06 15:00:00
Riley County,,TEARDROP,KS,2000-01-06 16:00:00
Austell,BLUE,FIREBALL,GA,2000-01-06 22:00:00
Edgewood,,SPHERE,WA,2000-01-07 00:10:00
Rock Island,,CIRCLE,IL,2000-01-07 05:15:00
Three Rivers,GREEN,FIREBALL,MI,2000-01-07 21:35:00
Westwood,,FORMATION,CA,2000-01-07 21:40:00
Citrus Heights,,LIGHT,CA,2000-01-07 22:45:00
Montgomery,,TRIANGLE,AL,2000-01-07 23:00:00
Knoxville,,CIGAR,TN,2000-01-08 07:30:00
Maitland,ORANGE YELLOW,FORMATION,FL,2000-01-08 16:45:00
Kent,,VARIOUS,CT,2000-01-08 17:00:00
Maitland,RED,LIGHT,FL,2000-01-08 17:00:00
Las Vegas Blvd.,,LIGHT,NV,2000-01-09 00:20:00
Los Angeles,ORANGE,SPHERE,CA,2000-01-09 17:30:00
Guyton,,CIRCLE,GA,2000-01-09 19:07:00
Grand Junction,BLUE,FIREBALL,CO,2000-01-09 21:50:00
Amarillo,,LIGHT,TX,2000-01-09 23:00:00
Sanford,,LIGHT,ME,2000-01-09 23:25:00
Brentwood,,DISK,TN,2000-01-10 09:15:00
Mannford,,OVAL,OK,2000-01-10 19:15:00
Sevierville,,OVAL,TN,2000-01-10 20:30:00
Conroe,,LIGHT,TX,2000-01-10 21:00:00
San Diego,,LIGHT,CA,2000-01-10 21:30:00
Westchester,,TRIANGLE,IL,2000-01-11 02:00:00
Atlanta,BLUE,SPHERE,GA,2000-01-11 22:00:00
Denver,RED ORANGE GREEN,FIREBALL,CO,2000-01-11 22:10:00
San Diego,,OVAL,CA,2000-01-11 22:40:00
Northbrook,,DISK,IL,2000-01-12 00:22:00
Los Angeles,YELLOW BLUE,DISK,CA,2000-01-12 01:31:00
Snohomish,,TRIANGLE,WA,2000-01-12 18:20:00
Galesburg,ORANGE,FIREBALL,IL,2000-01-13 00:00:00
Pine Mountain,,LIGHT,AR,2000-01-13 06:30:00
Phoenix,,CIRCLE,AZ,2000-01-13 15:45:00
Louisville,BLUE,FIREBALL,KY,2000-01-13 22:30:00
Mt. Vernon,RED,DISK,WA,2000-01-14 06:30:00
Houston,,DISK,TX,2000-01-14 12:25:00
Charlesbourg,,RECTANGLE,CA,2000-01-14 17:45:00
Louisville,,LIGHT,KY,2000-01-14 20:05:00
Longview,RED,CIGAR,TX,2000-01-15 18:00:00
Keystone Heights,,CIRCLE,FL,2000-01-15 19:00:00
Skowhegan,RED,OVAL,ME,2000-01-15 19:10:00
Houston,,TRIANGLE,TX,2000-01-15 20:00:00
Lake Charles,,LIGHT,LA,2000-01-15 20:00:00
Milton,,LIGHT,WV,2000-01-15 22:00:00
West Fargo,RED,SPHERE,ND,2000-01-15 22:30:00
Kalamazoo,,CIRCLE,MI,2000-01-15 23:00:00
Houghton Lake,,FLASH,MI,2000-01-15 23:45:00
Christiana,,RECTANGLE,TN,2000-01-16 01:30:00
Tifton,,DISK,GA,2000-01-16 13:10:00
Becker,,TRIANGLE,MN,2000-01-16 18:00:00
Davis,,CIRCLE,CA,2000-01-16 19:00:00
Hagerstown,,LIGHT,MD,2000-01-16 20:50:00
Lyons,,LIGHT,GA,2000-01-16 21:00:00
Philadelphia,,RECTANGLE,PA,2000-01-17 18:05:00
Oroville,ORANGE YELLOW,CONE,CA,2000-01-17 18:20:00
Three Forks,,CYLINDER,MT,2000-01-17 20:30:00
Orland,GREEN,TRIANGLE,CA,2000-01-17 21:40:00
Pittsburgh,,LIGHT,PA,2000-01-17 22:10:00
Buttonwillow,,CYLINDER,CA,2000-01-18 01:00:00
Blackwell,,LIGHT,TX,2000-01-18 01:15:00
Crescent City,BLUE,FIREBALL,CA,2000-01-18 18:15:00
Dayton township,,OVAL,NV,2000-01-18 18:15:00
Sixes,,LIGHT,OR,2000-01-18 18:20:00
Los Gatos,BLUE,OTHER,CA,2000-01-18 18:25:00
Ely,,SPHERE,NV,2000-01-18 18:30:00
Pleasanton,,LIGHT,CA,2000-01-18 18:30:00
Van Nuys,,LIGHT,CA,2000-01-18 18:30:00
Lake Worth,,EGG,FL,2000-01-19 03:19:00
Cairo,,CIRCLE,WV,2000-01-20 10:39:00
Salt Lake City,,DISK,UT,2000-01-20 13:30:00
Bryant,,CIRCLE,WI,2000-01-20 17:07:00
Columbus,,FIREBALL,OH,2000-01-20 18:00:00
Wilmington,,LIGHT,CA,2000-01-20 18:00:00
Bradenton,,FIREBALL,FL,2000-01-20 21:30:00
Bradenton,,FIREBALL,FL,2000-01-20 21:35:00
Columbus,,TRIANGLE,NE,2000-01-20 22:00:00
Houston,,TRIANGLE,TX,2000-01-20 22:10:00
Houston,,DIAMOND,TX,2000-01-20 22:14:00
Memphis,,OTHER,TN,2000-01-20 22:22:00
Hialeah,,OTHER,FL,2000-01-20 22:30:00
Belcamp,,TRIANGLE,MD,2000-01-20 23:10:00
Pembroke Pines,,LIGHT,FL,2000-01-20 23:15:00
,,RECTANGLE,NV,2000-01-21 11:30:00
Whitefish,,FIREBALL,MT,2000-01-21 17:15:00
Tacna,,TRIANGLE,AZ,2000-01-22 11:30:00
Sacramento area,ORANGE,TRIANGLE,CA,2000-01-22 19:00:00
San Diego,,VARIOUS,CA,2000-01-22 23:00:00
Petaluma,,DISK,CA,2000-01-23 11:05:00
Rio Rancho,,SPHERE,NM,2000-01-23 15:00:00
Covina,,OVAL,CA,2000-01-23 18:30:00
Fontana,,DISK,CA,2000-01-23 18:50:00
Mammoth Lakes,,DISK,CA,2000-01-24 13:00:00
Edinburg,,LIGHT,TX,2000-01-25 19:55:00
Gold Bar,,CIGAR,WA,2000-01-25 21:30:00
Ottumwa,,DISK,IA,2000-01-26 06:45:00
Westminster,RED,LIGHT,CA,2000-01-26 19:10:00
Seattle,,FIREBALL,WA,2000-01-26 19:37:00
Parrish,,TRIANGLE,FL,2000-01-26 21:00:00
Omaha,,TEARDROP,NE,2000-01-26 21:11:00
Sante Fe,YELLOW,OTHER,NM,2000-01-26 21:45:00
San Gabriel Valley,,TRIANGLE,CA,2000-01-27 12:00:00
Covina,,LIGHT,CA,2000-01-27 18:30:00
Leavenworth,ORANGE,FIREBALL,WA,2000-01-27 19:40:00
Monticello,,LIGHT,IN,2000-01-27 20:00:00
Tucson,,CYLINDER,AZ,2000-01-27 22:00:00
Damascus,GREEN,FIREBALL,OR,2000-01-28 00:00:00
Beaverton,,CYLINDER,OR,2000-01-28 07:30:00
East Rutherford,,TRIANGLE,NJ,2000-01-28 17:30:00
Rohnert Park,,LIGHT,CA,2000-01-28 19:15:00
Prescott Valley,YELLOW,CIRCLE,AZ,2000-01-28 20:40:00
Laguna Niguel,,SPHERE,CA,2000-01-28 20:58:00
Northbend,RED,CROSS,WA,2000-01-29 07:30:00
Seatac,,FIREBALL,WA,2000-01-29 10:00:00
Beaverton,,CYLINDER,OR,2000-01-29 13:00:00
New Wilmington,,CIRCLE,PA,2000-01-30 10:30:00
San Francisco,,TRIANGLE,CA,2000-01-30 23:15:00
Cape Canaveral,GREEN,LIGHT,FL,2000-01-31 21:00:00
Escondido,,CIRCLE,CA,2000-01-31 22:21:00
Lynn,,TRIANGLE,AL,2000-02-01 02:30:00
Cottage Grove,,TRIANGLE,OR,2000-02-01 09:00:00
Houston,,CHEVRON,TX,2000-02-01 10:00:00
New York City,,OTHER,NY,2000-02-01 20:30:00
Babbitt,,OTHER,MN,2000-02-01 23:00:00
Silverlake,,DIAMOND,WA,2000-02-02 00:00:00
,,LIGHT,NV,2000-02-02 03:00:00
Long Island,RED GREEN,TRIANGLE,NY,2000-02-02 10:00:00
Denver,,OTHER,CO,2000-02-02 16:00:00
Glenwood Landing,,VARIOUS,NY,2000-02-02 17:00:00
Mattawa,ORANGE,OTHER,WA,2000-02-02 18:00:00
Seattle,,OTHER,WA,2000-02-02 19:49:00
Seattle,,OTHER,WA,2000-02-02 19:49:00
Kent,,CIGAR,WA,2000-02-02 20:00:00
Rock Hill,,LIGHT,SC,2000-02-02 20:00:00
Seattle,,CHEVRON,WA,2000-02-02 20:00:00
Bagdad,YELLOW,OTHER,AZ,2000-02-02 21:30:00
Castle Rock,RED GREEN,LIGHT,WA,2000-02-03 07:00:00
Summerville,,TEARDROP,SC,2000-02-03 18:32:00
Dillon,,TRIANGLE,SC,2000-02-03 19:10:00
Crystal River,,LIGHT,FL,2000-02-03 19:45:00
Sealy,,LIGHT,TX,2000-02-03 21:50:00
Youngsville,,LIGHT,NC,2000-02-04 05:55:00
Olympia,,LIGHT,WA,2000-02-04 19:30:00
Houston,,TRIANGLE,TX,2000-02-04 19:40:00
Prescott,YELLOW,CIRCLE,AZ,2000-02-04 20:30:00
Prescott Valley,,CIRCLE,AZ,2000-02-04 21:30:00
Prescott Valley,,FORMATION,AZ,2000-02-04 21:30:00
Osceola,BLUE,OTHER,IN,2000-02-04 22:40:00
Euless,GREEN,FIREBALL,TX,2000-02-04 23:59:00
Tampa,,FORMATION,FL,2000-02-05 13:00:00
Pollock Pines,,LIGHT,CA,2000-02-05 19:30:00
St. Albans,,VARIOUS,WV,2000-02-06 06:30:00
Las Vegas,,OTHER,NV,2000-02-06 19:30:00
Alton,,TRIANGLE,IL,2000-02-07 05:30:00
Bullhead City,,OTHER,AZ,2000-02-07 13:00:00
Sebring,YELLOW,LIGHT,FL,2000-02-07 19:35:00
Pima,,FIREBALL,AZ,2000-02-07 19:40:00
Ionia,,TRIANGLE,MI,2000-02-07 21:00:00
Prescott Valley,YELLOW,CIRCLE,AZ,2000-02-08 00:30:00
Ventura,,LIGHT,CA,2000-02-08 04:00:00
Canton,,TRIANGLE,MA,2000-02-08 05:15:00
Harbor City,,CIRCLE,CA,2000-02-08 09:10:00
Avon Park,,FIREBALL,FL,2000-02-08 17:15:00
North Hollywood,,OVAL,CA,2000-02-08 17:40:00
Glendale,,DISK,CA,2000-02-08 18:00:00
Seattle,RED,FIREBALL,WA,2000-02-08 19:07:00
San Antonio,,OTHER,TX,2000-02-08 19:30:00
Southbury,,CIRCLE,CT,2000-02-08 23:00:00
Bristol,,TRIANGLE,VT,2000-02-09 18:15:00
Harrington,,OTHER,WA,2000-02-09 18:50:00
Deer Park,,LIGHT,NY,2000-02-09 19:10:00
Tucson,,OTHER,AZ,2000-02-09 19:30:00
Ranger,,LIGHT,TX,2000-02-09 20:30:00
Toledo,GREEN,OVAL,WA,2000-02-09 20:45:00
Northport,,VARIOUS,WA,2000-02-09 21:00:00
Sea Tac Airport,,TRIANGLE,WA,2000-02-09 21:00:00
Lake Elsinore,,SPHERE,CA,2000-02-09 21:03:00
Seattle,,CIRCLE,WA,2000-02-09 22:00:00
Kirkland,GREEN,OTHER,WA,2000-02-10 04:20:00
Alturas,ORANGE,FIREBALL,FL,2000-02-10 19:30:00
Rockford,,LIGHT,IL,2000-02-11 20:15:00
Rockford,ORANGE,FORMATION,IL,2000-02-11 21:00:00
Rockford,ORANGE,FIREBALL,IL,2000-02-11 21:15:00
Houston,,OTHER,TX,2000-02-11 22:00:00
Buffalo,,CIRCLE,NY,2000-02-12 17:00:00
Dundee,,FIREBALL,FL,2000-02-12 20:00:00
Fort Lauderdale,YELLOW GREEN,FIREBALL,FL,2000-02-12 20:45:00
Rockford,ORANGE,SPHERE,IL,2000-02-12 22:00:00
Salem,,CIRCLE,OR,2000-02-13 02:00:00
Sandpoint,,LIGHT,ID,2000-02-13 18:42:00
Clermont,RED,LIGHT,FL,2000-02-13 20:00:00
Jackson,,DIAMOND,MI,2000-02-14 05:20:00
Hermitage,,SPHERE,AR,2000-02-14 16:26:00
New York City,,OVAL,NY,2000-02-14 21:48:00
Mahony City,,LIGHT,PA,2000-02-15 01:30:00
Flushing,,EGG,NY,2000-02-15 01:38:00
Alton,,CIRCLE,VA,2000-02-15 02:00:00
Petrified Forest National Park,,OVAL,AZ,2000-02-15 04:00:00
Petrified Forest National Park,,OVAL,AZ,2000-02-15 04:00:00
Honolulu,,DISK,HI,2000-02-15 12:30:00
Scottsdale,,FIREBALL,AZ,2000-02-15 16:30:00
Barnum,,TEARDROP,MN,2000-02-15 19:11:00
Little Rock,RED ORANGE,OTHER,AR,2000-02-15 20:00:00
Fredericktown,,EGG,OH,2000-02-15 21:20:00
Hubbard,,RECTANGLE,OR,2000-02-15 23:00:00
West Memphis,,LIGHT,AR,2000-02-15 23:00:00
Black Canyon City,BLUE,CIRCLE,AZ,2000-02-16 04:45:00
Stevinson,,OTHER,CA,2000-02-16 12:30:00
Atlantic,,FORMATION,IA,2000-02-16 18:35:00
Dawsonville,,TRIANGLE,GA,2000-02-16 20:30:00
Riverside,,LIGHT,CA,2000-02-16 21:05:00
Seattle,,LIGHT,WA,2000-02-16 21:05:00
Rockford,ORANGE,CIRCLE,IL,2000-02-16 21:30:00
Rockford,ORANGE,CIRCLE,IL,2000-02-16 21:30:00
Rockford,RED,CIRCLE,IL,2000-02-16 21:30:00
Rockford,,FIREBALL,IL,2000-02-16 21:30:00
Rockford,ORANGE,FIREBALL,IL,2000-02-16 21:30:00
Rockford,,LIGHT,IL,2000-02-16 21:30:00
Rockford,,TRIANGLE,IL,2000-02-16 21:30:00
Rockford,,TRIANGLE,IL,2000-02-16 21:30:00
Rockford,,VARIOUS,IL,2000-02-16 21:30:00
Dallardsville,,RECTANGLE,TX,2000-02-16 22:00:00
Walkerton,RED,LIGHT,IN,2000-02-16 22:00:00
Rockford,,SPHERE,IL,2000-02-16 22:15:00
Ashgrove,ORANGE,LIGHT,MO,2000-02-17 00:00:00
Auburn,,TRIANGLE,WA,2000-02-17 18:30:00
Rockford,ORANGE,DISK,IL,2000-02-17 19:00:00
Wisconsin Dells,,LIGHT,WI,2000-02-17 19:35:00
Pine Hill,,CHEVRON,NJ,2000-02-17 21:30:00
Pasadena,,LIGHT,CA,2000-02-18 19:00:00
Prescott Valley,,FIREBALL,AZ,2000-02-18 20:00:00
Jacksonville,,TRIANGLE,FL,2000-02-18 22:00:00
Glendale,,LIGHT,AR,2000-02-18 22:50:00
Superior,,RECTANGLE,CO,2000-02-19 13:30:00
Miami,,LIGHT,FL,2000-02-19 14:18:00
Wilmington,,TRIANGLE,OH,2000-02-19 18:24:00
Seatac,,LIGHT,WA,2000-02-19 19:05:00
Los Banos,,OTHER,CA,2000-02-19 21:15:00
Dallardsville,,VARIOUS,TX,2000-02-19 22:30:00
Tacoma,GREEN,VARIOUS,WA,2000-02-19 23:00:00
Malo,,FIREBALL,WA,2000-02-19 23:45:00
Molson,RED GREEN BLUE,FIREBALL,WA,2000-02-19 23:45:00
Athens,,CYLINDER,OH,2000-02-20 13:04:00
Orlando,,OVAL,FL,2000-02-20 18:00:00
Cottage Grove,,FORMATION,OR,2000-02-20 22:30:00
Lodi,,OTHER,CA,2000-02-21 18:00:00
Corvallis,ORANGE GREEN,FIREBALL,OR,2000-02-21 19:43:00
Klamath Falls,RED,FIREBALL,OR,2000-02-21 19:43:00
Orland Park,,FIREBALL,IL,2000-02-21 20:00:00
Tupelo,,CYLINDER,MS,2000-02-21 20:40:00
Los Altos Hills,,DISK,CA,2000-02-21 21:45:00
Prescott Valley,,CYLINDER,AZ,2000-02-22 06:00:00
Prescott Valley,ORANGE,CYLINDER,AZ,2000-02-22 06:00:00
Prescott Valley,ORANGE,CYLINDER,AZ,2000-02-22 06:00:00
Ogden,BLUE,LIGHT,UT,2000-02-22 19:00:00
Kenai,,CONE,AK,2000-02-23 08:18:00
Ridgecrest,,CIGAR,CA,2000-02-23 17:00:00
Wrightsville,,TRIANGLE,GA,2000-02-23 22:55:00
Huntsville,GREEN,DISK,AL,2000-02-24 01:15:00
O'Brien,YELLOW,LIGHT,FL,2000-02-24 20:30:00
Tallahassee,ORANGE,TRIANGLE,FL,2000-02-24 20:30:00
Hollywood,,LIGHT,CA,2000-02-24 23:00:00
Vandalia,,LIGHT,OH,2000-02-26 02:00:00
Tonawanda,,EGG,NY,2000-02-26 06:29:00
New York City,RED,DISK,NY,2000-02-26 10:00:00
Durham,,CIRCLE,NC,2000-02-26 17:18:00
McClave,ORANGE,LIGHT,CO,2000-02-26 19:20:00
Goshen,,LIGHT,IN,2000-02-26 23:30:00
Chicago,RED ORANGE,TRIANGLE,IL,2000-02-27 19:30:00
Bloomington,,CIGAR,IN,2000-02-27 21:15:00
Virginia Beach,,CHEVRON,VA,2000-02-28 05:15:00
Lehigh Acres,,LIGHT,FL,2000-02-28 11:00:00
Olancha,,SPHERE,CA,2000-02-28 14:00:00
Walworth,ORANGE,CIRCLE,WI,2000-02-28 19:30:00
Charlestown,,LIGHT,RI,2000-02-28 21:30:00
Hawaii's Volcano National Park,,SPHERE,HI,2000-02-29 13:35:00
Las Vegas,,SPHERE,NM,2000-02-29 20:45:00
New Haven,,LIGHT,MI,2000-02-29 21:50:00
Tumwater,,EGG,WA,2000-02-29 22:00:00
Antioch,ORANGE,LIGHT,CA,2000-02-29 22:40:00
Pineville,,TRIANGLE,WV,2000-03-01 00:30:00
Coram,,LIGHT,NY,2000-03-01 04:45:00
Tucson,,OTHER,AZ,2000-03-01 14:00:00
Fountain Valley,,LIGHT,CA,2000-03-01 17:00:00
Sterling,,RECTANGLE,CO,2000-03-01 19:00:00
Venice,,FIREBALL,FL,2000-03-01 20:00:00
Lake Pontchartrain,,TRIANGLE,LA,2000-03-01 21:00:00
Springfield,,CHEVRON,OH,2000-03-01 21:00:00
Houston,,DISK,TX,2000-03-01 23:00:00
Oskaloosa,,CHEVRON,IA,2000-03-01 23:00:00
Memphis,,FORMATION,TN,2000-03-02 01:15:00
Alhambra Golf Course,,FORMATION,CA,2000-03-02 13:00:00
Paterson,,LIGHT,NJ,2000-03-02 22:45:00
Pearl River,,OVAL,NY,2000-03-02 23:42:00
Grove City,RED,TRIANGLE,OH,2000-03-03 01:15:00
Longwood,,LIGHT,FL,2000-03-03 04:00:00
Boone,BLUE,OVAL,IA,2000-03-03 19:55:00
Prescott Valley,,CIRCLE,AZ,2000-03-03 20:00:00
Ogden,,LIGHT,UT,2000-03-03 22:20:00
Kansas City,,SPHERE,MI,2000-03-04 18:40:00
Miami,,SPHERE,FL,2000-03-05 03:40:00
Rockford,,OTHER,IL,2000-03-05 20:27:00
Quincy,,LIGHT,IL,2000-03-05 21:45:00
Kenosha,,VARIOUS,WI,2000-03-05 23:33:00
Salt Lake City,RED BLUE,OVAL,UT,2000-03-06 03:30:00
Ocean Shores,,TRIANGLE,WA,2000-03-06 04:30:00
Irvine,,SPHERE,CA,2000-03-06 16:30:00
Silver Spring,,OTHER,MD,2000-03-06 19:55:00
Roland,,DISK,OK,2000-03-06 22:00:00
Hugo,BLUE,LIGHT,MN,2000-03-06 22:20:00
Venice,,OVAL,FL,2000-03-07 07:00:00
Harrisonville,,OTHER,MO,2000-03-07 19:00:00
Gaithersburg,YELLOW,FORMATION,MD,2000-03-07 19:20:00
Kansas City,,CIRCLE,MO,2000-03-07 19:45:00
Severna Park,,CIGAR,MD,2000-03-07 20:50:00
Fresno,,FORMATION,CA,2000-03-07 22:00:00
Gulf Breeze,,FIREBALL,FL,2000-03-07 22:00:00
Magna,,DISK,UT,2000-03-08 05:37:00
Silver Spring Twp.,,OVAL,PA,2000-03-08 13:00:00
Fort Smith,,OVAL,AR,2000-03-09 17:05:00
Fallbrook,,CIRCLE,CA,2000-03-09 18:30:00
Portland,,LIGHT,ME,2000-03-09 18:35:00
Memphis,,FIREBALL,AR,2000-03-09 19:00:00
Powhatan,,FIREBALL,VA,2000-03-09 19:00:00
Fort Myers,,LIGHT,FL,2000-03-09 19:15:00
Vassalboro,,OTHER,ME,2000-03-09 19:45:00
Buffalo,RED,FIREBALL,MO,2000-03-09 20:15:00
Eureka Springs,,FIREBALL,AR,2000-03-09 20:25:00
Conway,ORANGE GREEN,FIREBALL,AR,2000-03-09 20:30:00
Houston,,TRIANGLE,TX,2000-03-09 20:30:00
Timbo,,SPHERE,AR,2000-03-09 20:30:00
Timbo,,SPHERE,AR,2000-03-09 20:30:00
Fredericksburg,ORANGE GREEN,FIREBALL,VA,2000-03-09 20:45:00
Olive Branch,ORANGE,FIREBALL,MS,2000-03-09 20:45:00
Smyrna,,FIREBALL,TN,2000-03-09 20:45:00
Little Rock,,LIGHT,AR,2000-03-09 21:00:00
Sallisaw,,FIREBALL,OK,2000-03-09 21:00:00
Elmira,,DISK,NY,2000-03-09 21:20:00
Lonoke,,LIGHT,AR,2000-03-09 22:00:00
Mountain Home,,FIREBALL,AR,2000-03-09 22:09:00
Rockford,,LIGHT,IL,2000-03-10 00:00:00
Atlanta,,DISK,GA,2000-03-10 03:00:00
Ephrata,,OTHER,WA,2000-03-10 04:00:00
Price,,LIGHT,UT,2000-03-10 18:00:00
Freedom,,LIGHT,ME,2000-03-10 19:20:00
Rockford,,DIAMOND,IL,2000-03-10 20:58:00
Rockford,,LIGHT,IL,2000-03-10 21:15:00
Duncansville,,TRIANGLE,PA,2000-03-10 21:43:00
Mobile,,TRIANGLE,AL,2000-03-11 12:30:00
Houston,,SPHERE,TX,2000-03-11 16:30:00
Citrus Heights,,CIRCLE,CA,2000-03-11 19:00:00
Fair Oaks,RED,LIGHT,CA,2000-03-11 19:04:00
Orangevale,,FIREBALL,CA,2000-03-11 19:45:00
Gold Bar,GREEN,SPHERE,WA,2000-03-11 21:00:00
Santa Barbara,,TRIANGLE,CA,2000-03-11 21:00:00
Dover,,TRIANGLE,AR,2000-03-11 21:20:00
Las Vegas,,OVAL,NV,2000-03-11 21:30:00
Gold Bar,,LIGHT,WA,2000-03-11 21:45:00
Coral Springs,RED,OTHER,FL,2000-03-12 00:00:00
Ocala,,TRIANGLE,FL,2000-03-12 00:19:00
Simi Valley,,FIREBALL,CA,2000-03-12 01:19:00
Sunland,ORANGE,LIGHT,CA,2000-03-12 01:30:00
Encino,BLUE,SPHERE,CA,2000-03-12 01:45:00
Seattle,,CIGAR,WA,2000-03-12 08:00:00
Marquette,,OVAL,MI,2000-03-12 13:30:00
Sedona,,OTHER,AZ,2000-03-12 15:00:00
Falconer,,TRIANGLE,NY,2000-03-12 19:35:00
Escondido,,LIGHT,CA,2000-03-12 20:37:00
Arkansas,,CIRCLE,AR,2000-03-12 21:10:00
Plymouth Borough,,CROSS,PA,2000-03-12 23:00:00
Jacksonville,,LIGHT,FL,2000-03-13 00:30:00
Seattle,,DIAMOND,WA,2000-03-13 11:51:00
Healdsburg,,RECTANGLE,CA,2000-03-13 17:00:00
San Jose,BLUE,LIGHT,CA,2000-03-13 20:00:00
Charleston,,CIRCLE,SC,2000-03-13 21:00:00
Clarinda,,LIGHT,IA,2000-03-13 21:40:00
Scotts Valley,,FORMATION,CA,2000-03-14 16:35:00
Ionia,,DIAMOND,MI,2000-03-14 21:00:00
Indianapolis,,CYLINDER,IN,2000-03-14 22:30:00
Imperial Beach,,LIGHT,CA,2000-03-15 01:00:00
Merritt Island,,SPHERE,FL,2000-03-15 03:00:00
Winthrop,,VARIOUS,MA,2000-03-15 06:39:00
Pine Bush,,OTHER,NY,2000-03-15 08:30:00
Utica,,DISK,NY,2000-03-15 14:00:00
Blue Springs,,VARIOUS,MO,2000-03-15 14:46:00
Aguilar,,RECTANGLE,CO,2000-03-15 15:00:00
Boulder,,DIAMOND,CO,2000-03-15 16:30:00
Okeechobee,,RECTANGLE,GA,2000-03-15 17:00:00
Yelm,BLUE,DISK,WA,2000-03-15 19:30:00
Riverside,,LIGHT,CA,2000-03-15 20:45:00
Bakersville,,LIGHT,NC,2000-03-15 21:15:00
New Philadelphia,,LIGHT,OH,2000-03-15 22:00:00
Portland,,OVAL,OR,2000-03-15 23:00:00
Moab,,DISK,UT,2000-03-16 03:30:00
Houston,,SPHERE,TX,2000-03-16 09:00:00
Omaha,,CIGAR,NE,2000-03-16 13:05:00
Anza,,LIGHT,CA,2000-03-16 17:15:00
Thousand Oaks,,TRIANGLE,CA,2000-03-17 00:26:00
San Antonio,,TRIANGLE,TX,2000-03-17 04:00:00
Memphis,,DIAMOND,TN,2000-03-17 10:15:00
Everett,,LIGHT,WA,2000-03-18 20:20:00
Palm Desert,,LIGHT,CA,2000-03-18 22:30:00
Las Vegas,,OVAL,NV,2000-03-18 23:45:00
Lacey,RED BLUE,CROSS,WA,2000-03-19 08:10:00
Albuquerque,,OVAL,NM,2000-03-19 09:05:00
Tucson,,LIGHT,AZ,2000-03-19 21:00:00
